"iTunes Connect - Payments and Financial Reports	(September, 2014)",,,,,,,,,,,,
,,,,,,,,,,,,
Region (Currency),Units Sold,Earned,Pre-Tax Subtotal,Input Tax,Adjustments,Withholding Tax,Total Owed,Exchange Rate,Proceeds,Bank Account Currency,
Switzerland (CHF),"29","33.15","33.15","0","0","0","33.15","0.80030","26.53","EUR",
Euro-Zone (EUR),"19","206.89","206.89","0","0","0","206.89","1.00000","206.89","EUR",
Japan (JPY),"2","179","179","0","0","-37","142","0.00817","1.16","EUR",
,,,,,,,,,,,,
,,,,,,,,,,"234.58" EUR,,
,,,,,,,,,,Paid to FICTIONAL BANK -****1299,,
,,,,,,,,,,,,
,,,,,,,,,,,,
